Dates,EURUSD,EURGBP,EURJPY,EURCHF,EURSEK,EURDKK,EURAUD,EURCAD,USDGBP,USDJPY,USDCHF,USDSEK,USDDKK,USDAUD,USDCAD,GBPUSD,GBPJPY,GBPCHF,GBPSEK,GBPDKK,GBPAUD,GBPCAD,JPYUSD,JPYGBP,JPYCHF,JPYSEK,JPYDKK,JPYAUD,JPYCAD,SEKUSD,SEKGBP,SEKJPY,SEKCHF,SEKDKK,SEKAUD,SEKCAD,DKKUSD,DKKGBP,DKKJPY,DKKCHF,DKKSEK,DKKAUD,DKKCAD,AUDUSD,AUDGBP,AUDJPY,AUDCHF,AUDSEK,AUDDKK,AUDCAD,CADUSD,CADGBP,CADJPY,CADCHF,CADSEK,CADDKK,CADAUD
2006-01-09,1.2075502,0.6845916,138.02902,1.5428264,9.312507,7.4589167,1.6069607,1.4132563,0.566926,114.305,1.27765,7.7119,6.1769,1.330761,1.17035,1.7638986,201.62244,2.253645,13.60301,10.895425,2.3473275,2.0643787,0.008748524,0.004959766,0.011177552,0.06746774,0.054038756,0.011642194,0.010238835,0.12966973,0.07351314,14.821898,0.16567253,0.8009569,0.17255941,0.15175895,0.1618935,0.09178164,18.505238,0.20684323,1.2485065,0.21544155,0.18947205,0.75144976,0.42601642,85.89446,0.9600898,5.7951055,4.64163,0.8794592,0.8544453,0.48440725,97.667366,1.091682,6.589397,5.277823,1.1370624
2006-01-10,1.2069496,0.68384314,138.17763,1.5444127,9.35929,7.458586,1.608194,1.4061567,0.566588,114.485,1.2796,7.7545,6.1797,1.332445,1.16505,1.764951,202.06041,2.2584314,13.686313,10.906867,2.3517,2.0562563,0.008734768,0.004949015,0.01117701,0.06773376,0.053978246,0.011638599,0.010176442,0.12895738,0.0730657,14.763685,0.16501386,0.79691786,0.17182861,0.15024179,0.16182016,0.091685355,18.52598,0.20706508,1.2548344,0.21561646,0.18852858,0.7505,0.4252243,85.921,0.96033984,5.819752,4.637865,0.8743701,0.8583322,0.48632073,98.26617,1.0983219,6.655937,5.3042355,1.1436805
2006-01-11,1.2098496,0.68718004,138.21927,1.5469742,9.34875,7.4590855,1.6046815,1.4048169,0.567988,114.245,1.27865,7.7272,6.1653,1.326348,1.16115,1.7606007,201.13983,2.251192,13.604514,10.854631,2.335169,2.0443215,0.008753118,0.004971666,0.011192175,0.06763709,0.0539656,0.01160968,0.010163683,0.12941298,0.073505014,14.784786,0.16547391,0.7978698,0.17164664,0.15026788,0.16219811,0.09212658,18.530323,0.20739463,1.2533373,0.21513113,0.18833633,0.75395,0.42823455,86.13502,0.9640382,5.8259225,4.648328,0.875449,0.8612152,0.48915985,98.38953,1.1011928,6.654782,5.30965,1.1422709
2006-01-12,1.2038504,0.68328744,137.38942,1.5475497,9.315695,7.460501,1.6016097,1.4005597,0.567585,114.125,1.2855,7.73825,6.1972,1.330406,1.1634,1.7618507,201.07121,2.2648592,13.633641,10.918541,2.3439767,2.0497372,0.008762322,0.004973363,0.011263966,0.06780504,0.05430186,0.011657446,0.010194087,0.12922819,0.07334798,14.748167,0.16612284,0.8008529,0.17192595,0.15034409,0.1613632,0.09158733,18.415575,0.2074324,1.2486688,0.21467856,0.18772995,0.7516503,0.4266254,85.78209,0.9662465,5.8164577,4.658127,0.87447,0.8595496,0.48786744,98.0961,1.104951,6.651409,5.3268003,1.1435499
2006-01-13,1.2075502,0.68211615,138.12563,1.5494076,9.313955,7.4597616,1.6052507,1.402811,0.564876,114.385,1.2831,7.7131,6.1776,1.329345,1.1617,1.7702999,202.49576,2.2714717,13.6545,10.936205,2.3533392,2.0565574,0.008742405,0.004938375,0.01121738,0.06743105,0.05400708,0.011621673,0.010156052,0.12964956,0.07323593,14.829966,0.16635336,0.8009231,0.172349,0.1506139,0.16187516,0.091439396,18.51609,0.20770201,1.2485592,0.21518794,0.18805037,0.7522502,0.4249281,86.04614,0.9652122,5.802181,4.647101,0.873889,0.8608074,0.48624948,98.463455,1.104502,6.6394935,5.3177238,1.14431
2006-01-16,1.2120507,0.6859564,139.30704,1.5513643,9.342244,7.4616265,1.608241,1.4044031,0.565947,114.935,1.27995,7.7078,6.1562,1.326876,1.1587,1.7669499,203.08438,2.2616076,13.619296,10.877697,2.3445234,2.0473647,0.00870057,0.004924062,0.011136295,0.06706225,0.053562447,0.011544578,0.010081351,0.1297387,0.073425226,14.911517,0.16605906,0.7986974,0.17214718,0.15032823,0.16243787,0.091931224,18.669796,0.20791236,1.2520386,0.21553493,0.18821676,0.7536499,0.4265259,86.62075,0.9646342,5.8089824,4.6396194,0.8732541,0.86303616,0.4884327,99.19306,1.1046431,6.65211,5.313023,1.145142
2006-01-17,1.2065506,0.68575394,139.78493,1.5499952,9.305702,7.4616103,1.6061637,1.4058125,0.568359,115.855,1.28465,7.71265,6.18425,1.331203,1.16515,1.7594513,203.84123,2.260279,13.570031,10.880886,2.3421867,2.0500247,0.008631479,0.004905779,0.011088429,0.06657158,0.053379223,0.011490251,0.010056968,0.12965712,0.07369179,15.021426,0.16656402,0.801832,0.17259994,0.15107,0.1617011,0.091904275,18.733881,0.20772931,1.247144,0.21525699,0.18840604,0.75120026,0.42695144,87.03031,0.96502936,5.7937446,4.6456103,0.875261,0.85825855,0.487799,99.43355,1.1025618,6.6194477,5.3076854,1.1425164
2006-01-18,1.2100501,0.68645537,139.46432,1.5489247,9.326763,7.461108,1.6171739,1.4184812,0.567295,115.255,1.28005,7.70775,6.16595,1.336452,1.17225,1.7627512,203.1659,2.25641,13.586845,10.869036,2.3558323,2.0663853,0.008676413,0.004922086,0.011106243,0.06687562,0.05349833,0.011595611,0.010170926,0.12973955,0.073600605,14.953132,0.16607311,0.7999676,0.17339069,0.1520872,0.16218102,0.092004485,18.692173,0.20759982,1.2500508,0.21674715,0.1901167,0.7482498,0.4244784,86.23953,0.9577972,5.7673225,4.613671,0.8771359,0.8530603,0.48393685,98.319466,1.0919598,6.5751753,5.2599273,1.1400741
2006-01-19,1.2115499,0.68750125,139.39487,1.5525407,9.342504,7.462299,1.6226481,1.4169681,0.567456,115.055,1.28145,7.7112,6.1593,1.339316,1.16955,1.7622511,202.7558,2.258237,13.589071,10.854233,2.3602111,2.0610406,0.008691495,0.004932041,0.011137717,0.06702186,0.053533524,0.011640659,0.010165138,0.1296815,0.07358854,14.920505,0.16618036,0.79874724,0.17368451,0.151669,0.16235611,0.092129946,18.679882,0.20805123,1.2519605,0.21744613,0.18988357,0.7466498,0.42369092,85.90579,0.95679444,5.757566,4.59884,0.8732442,0.85502976,0.48519176,98.37545,1.095678,6.5933056,5.2663846,1.1451551
2006-01-20,1.2094004,0.68608683,139.49223,1.552326,9.304703,7.462001,1.6178186,1.3936526,0.567295,115.34,1.28355,7.69365,6.17,1.337703,1.15235,1.7627512,203.31572,2.2625794,13.561991,10.876175,2.3580375,2.0313063,0.008670019,0.004918458,0.011128403,0.06670409,0.053494018,0.01159791,0.009990896,0.12997732,0.07373548,14.991583,0.16683239,0.80196005,0.17387104,0.14977935,0.16207455,0.09194408,18.693678,0.20803079,1.2469448,0.21680762,0.1867666,0.7475501,0.42408141,86.22242,0.9595179,5.7513885,4.612384,0.8614393,0.86779195,0.49229404,100.09112,1.1138544,6.6764874,5.354276,1.1608479
